call_id,put_id,date_entry,date_exit,expiration,dte,stock_price_entry,stock_price_exit,call_delta_entry,put_delta_entry,strangle_price_entry,strangle_price_exit,lagged_contango,contango_strat_dollar_pnl,contango_strat_pct_pnl,cum_contango_strat_dollar_pnl,cum_contango_strat_pct_pnl,short_strangle_dollar_pnl,short_strangle_pct_pnl,cum_short_strangle_dollar_pnl,cum_short_strangle_pct_pnl
SPY190109C00255000,SPY190109P00242000,2019-01-02,2019-01-09,2019-01-09,7,249.42,257.71,0.20508,-0.18962,1.7,2.815,-0.65,NA,NA,0,0,-1.115,-0.6559,-1.115,-0.6559
SPY190111C00258000,SPY190111P00246000,2019-01-04,2019-01-11,2019-01-11,7,252.25,258.88,0.19767,-0.20883,1.705,0.885,-0.41,NA,NA,0,0,0.82,0.4809,-0.29500000000000004,-0.17500000000000004
SPY190114C00260000,SPY190114P00249000,2019-01-07,2019-01-14,2019-01-14,7,254.93,257.71,0.21437,-0.20752,1.65,0.01,-0.02,NA,NA,0,0,1.64,0.9939,1.3449999999999998,0.8189
SPY190116C00263000,SPY190116P00252000,2019-01-09,2019-01-16,2019-01-16,7,257.71,261.18,0.19017,-0.20513,1.385,0.01,0.17,1.375,0.9928,1.375,0.9928,1.375,0.9928,2.7199999999999998,1.8117
SPY190118C00263000,SPY190118P00253500,2019-01-11,2019-01-18,2019-01-18,7,258.88,266.08,0.21052,-0.19406,1.28,3.095,0.38,-1.815,-1.418,-0.43999999999999995,-0.4251999999999999,-1.815,-1.418,0.9049999999999999,0.39370000000000005
SPY190122C00264000,SPY190122P00255500,2019-01-15,2019-01-22,2019-01-22,7,260.32,261.87,0.1961,-0.19909,1.08,0.01,0.38,1.07,0.9907,0.6300000000000001,0.5655000000000001,1.07,0.9907,1.975,1.3844
SPY190123C00265000,SPY190123P00256500,2019-01-16,2019-01-23,2019-01-23,7,261.18,263.18,0.2079,-0.19106,1.12,0.01,0.43,1.11,0.9911,1.7400000000000002,1.5566,1.11,0.9911,3.085,2.3755
SPY190125C00270000,SPY190125P00261500,2019-01-18,2019-01-25,2019-01-25,7,266.08,265.79,0.21367,-0.20524,1.105,0.01,0.56,1.095,0.991,2.835,2.5476,1.095,0.991,4.18,3.3665000000000003
SPY190130C00268000,SPY190130P00257500,2019-01-23,2019-01-30,2019-01-30,7,263.18,267.48,0.2086,-0.20178,1.485,0.095,-0.16,NA,NA,2.835,2.5476,1.39,0.936,5.57,4.3025
SPY190201C00270000,SPY190201P00261000,2019-01-25,2019-02-01,2019-02-01,7,265.79,269.99,0.22529,-0.2057,1.41,0.16,0.12,1.25,0.8865,4.085,3.4341,1.25,0.8865,6.82,5.189
SPY190204C00268000,SPY190204P00258000,2019-01-28,2019-02-04,2019-02-04,7,263.43,271.36,0.22282,-0.20721,1.555,3.42,0.28,-1.865,-1.1994,2.22,2.2347,-1.865,-1.1994,4.955,3.9896000000000003
SPY190206C00272000,SPY190206P00262000,2019-01-30,2019-02-06,2019-02-06,7,267.48,272.68,0.21709,-0.19467,1.42,0.72,-0.04,NA,NA,2.22,2.2347,0.7,0.493,5.655,4.4826
